model,cause_macro_f1,service_macro_f1,severity_macro_f1,action_macro_f1,full_exact,evidence_f1
Majority,0.01818181818181818,0.06593406593406594,0.14821763602251406,0.01818181818181818,0.0,0.8221180880974697
Rules,0.8039720582838938,0.2526303655950338,0.48099365759916074,0.8039720582838941,0.17466666666666666,0.8614246068455134
TF-IDF LogReg,1.0,1.0,0.585165068317782,1.0,0.5453333333333333,0.8863073700247572
TF-IDF SVM,1.0,1.0,0.640397767205042,1.0,0.5613333333333334,0.8863073700247572
TF-IDF NB,1.0,1.0,0.4211624306548707,1.0,0.492,0.8863073700247572
Char SVM,1.0,1.0,0.6070238127310693,1.0,0.556,0.8863073700247572
