model,cause_accuracy,cause_macro_f1,service_accuracy,service_macro_f1,severity_accuracy,severity_macro_f1,action_accuracy,action_macro_f1,full_exact,evidence_precision,evidence_recall,evidence_f1
Majority,0.1,0.0181818181818181,0.3,0.0659340659340659,0.4213333333333333,0.148217636022514,0.1,0.0181818181818181,0.0,0.7667832167832168,0.8860606060606061,0.8221180880974697
Rules,0.8253333333333334,0.8039720582838938,0.412,0.2526303655950338,0.4533333333333333,0.4809936575991607,0.8253333333333334,0.8039720582838941,0.1746666666666666,0.7945392491467577,0.9406060606060606,0.8614246068455134
TF-IDF LogReg,1.0,1.0,1.0,1.0,0.544,0.5844609358463161,1.0,1.0,0.544,0.8382564841498559,0.9402020202020202,0.8863073700247572
TF-IDF SVM,1.0,1.0,1.0,1.0,0.572,0.6486702011640507,1.0,1.0,0.572,0.8382564841498559,0.9402020202020202,0.8863073700247572
TF-IDF NB,1.0,1.0,0.9973333333333332,0.9974373868179178,0.492,0.4211624306548707,1.0,1.0,0.492,0.8376529877609791,0.9402020202020202,0.8859699219493622
Char SVM,1.0,1.0,1.0,1.0,0.552,0.6089900302459686,1.0,1.0,0.552,0.8382564841498559,0.9402020202020202,0.8863073700247572
